,Id,SalePrice
0,1461,122781.1097058755
1,1462,156518.2968535794
2,1463,166411.85750709692
3,1464,189756.0471883296
4,1465,196827.2554798464
5,1466,171599.8612236685
6,1467,180536.4474875484
7,1468,164534.4184514229
8,1469,190234.02146775732
9,1470,111897.77222763935
10,1471,195256.44264876895
11,1472,116160.58833293054
12,1473,113080.43869178108
13,1474,163163.71450904594
14,1475,138525.33822615287
15,1476,361665.5008731362
16,1477,260976.41684781722
17,1478,295817.60345250653
18,1479,291103.38009800564
19,1480,518244.35494340945
20,1481,323256.4219197815
21,1482,216852.7708962098
22,1483,180472.14110163503
23,1484,178008.27097185803
24,1485,165202.4269813759
25,1486,200827.0433995456
26,1487,347066.565827118
27,1488,264368.5999281395
28,1489,191919.5186413511
29,1490,196619.26552019306
30,1491,196580.1593836554
31,1492,98571.0644977645
32,1493,179337.14774893443
33,1494,295591.81621748395
34,1495,290542.38813822524
35,1496,212850.0664531256
36,1497,200519.09283001962
37,1498,161939.1982614157
38,1499,161939.1982614157
39,1500,152545.84960930582
40,1501,168030.06486141498
41,1502,153350.1174602859
42,1503,259472.62353113244
43,1504,230979.38467371097
44,1505,213785.31420114578
45,1506,219243.55664178086
46,1507,255178.83236696527
47,1508,193037.0022257681
48,1509,171585.88981069156
49,1510,142057.62012444314
50,1511,140578.92131818822
51,1512,172496.77317022596
52,1513,157637.86523975065
53,1514,164997.50131299725
54,1515,224347.02379462618
55,1516,152753.0396679256
56,1517,163310.845109894
57,1518,165086.34442594086
58,1519,213806.10218862092
59,1520,124251.3987506153
60,1521,128454.10642025653
61,1522,168799.5922075016
62,1523,113393.93520867729
63,1524,128533.09372733491
64,1525,119526.32712427416
65,1526,113637.11720187706
66,1527,107239.0427165248
67,1528,148425.12110161537
68,1529,143891.50587969588
69,1530,185671.0295418768
70,1531,107426.08923429808
71,1532,101974.66005761875
72,1533,167399.15156792355
73,1534,135227.24635365792
74,1535,154269.3432666383
75,1536,115664.76904013778
76,1537,62911.722239092785
77,1538,166619.06609233835
78,1539,195908.5599108638
79,1540,111982.41002013095
80,1541,146725.82199578194
81,1542,145658.19871844188
82,1543,189412.3168585604
83,1544,94579.12830824066
84,1545,125036.96189411521
85,1546,130840.66215889886
86,1547,129002.61947289183
87,1548,147764.61092010693
88,1549,120045.47545296607
89,1550,125683.03493653469
90,1551,113305.76242667127
91,1552,129551.1487618929
92,1553,133456.9490155978
93,1554,132364.4129714114
94,1555,154987.3867484277
95,1556,86176.98129646057
96,1557,100545.10720087378
97,1558,103244.56310656984
98,1559,78407.9341053301
99,1560,137307.56898089004
100,1561,134299.87528184868
101,1562,128554.01063941659
102,1563,110780.26714176808
103,1564,160322.6124289971
104,1565,137891.4679129427
105,1566,223138.1020082285
106,1567,81272.73646771863
107,1568,195089.24709998857
108,1569,103105.93763788474
109,1570,135028.3232421069
110,1571,124702.15880934332
111,1572,142064.39279699145
